--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 1.txt (10x10, 15 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 659 (65.90%)
Jumlah Kegagalan   : 341
Rata-rata Waktu    : 0.49 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 32.14 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 17 ms, Langkah = 28
Percobaan #2: Waktu = 4 ms, Langkah = 31
Percobaan #3: Waktu = 4 ms, Langkah = 31
Percobaan #4: Waktu = 3 ms, Langkah = 35
Percobaan #5: Waktu = 3 ms, Langkah = 34
Percobaan #6: Waktu = 3 ms, Langkah = 44
Percobaan #7: Waktu = 2 ms, Langkah = 32
Percobaan #8: Waktu = 2 ms, Langkah = 33
Percobaan #9: Waktu = 1 ms, Langkah = 30
Percobaan #10: Waktu = 1 ms, Langkah = 27
Percobaan #11: Waktu = 1 ms, Langkah = 33
Percobaan #12: Waktu = 1 ms, Langkah = 33
Percobaan #13: Waktu = 2 ms, Langkah = 32
Percobaan #14: Waktu = 1 ms, Langkah = 32
Percobaan #15: Waktu = 1 ms, Langkah = 31
Percobaan #16: Waktu = 1 ms, Langkah = 38
Percobaan #17: Waktu = 1 ms, Langkah = 31
Percobaan #18: Waktu = 1 ms, Langkah = 29
Percobaan #19: Waktu = 1 ms, Langkah = 30
Percobaan #20: Waktu = 1 ms, Langkah = 26
Percobaan #21: Waktu = 1 ms, Langkah = 24
Percobaan #22: Waktu = 1 ms, Langkah = 37
Percobaan #23: Waktu = 1 ms, Langkah = 30
Percobaan #24: Waktu = 1 ms, Langkah = 34
Percobaan #25: Waktu = 1 ms, Langkah = 27
Percobaan #26: Waktu = 1 ms, Langkah = 30
Percobaan #27: Waktu = 1 ms, Langkah = 37
Percobaan #28: Waktu = 1 ms, Langkah = 26
Percobaan #29: Waktu = 1 ms, Langkah = 32
Percobaan #30: Waktu = 1 ms, Langkah = 28
Percobaan #31: Waktu = 1 ms, Langkah = 30
Percobaan #32: Waktu = 3 ms, Langkah = 34
Percobaan #33: Waktu = 1 ms, Langkah = 39
Percobaan #34: Waktu = 4 ms, Langkah = 33
Percobaan #35: Waktu = 2 ms, Langkah = 40
Percobaan #36: Waktu = 1 ms, Langkah = 33
Percobaan #37: Waktu = 0 ms, Langkah = 30
Percobaan #38: Waktu = 0 ms, Langkah = 29
Percobaan #39: Waktu = 0 ms, Langkah = 25
Percobaan #40: Waktu = 1 ms, Langkah = 34
Percobaan #41: Waktu = 1 ms, Langkah = 39
Percobaan #42: Waktu = 0 ms, Langkah = 24
Percobaan #43: Waktu = 1 ms, Langkah = 33
Percobaan #44: Waktu = 1 ms, Langkah = 34
Percobaan #45: Waktu = 1 ms, Langkah = 30
Percobaan #46: Waktu = 0 ms, Langkah = 27
Percobaan #47: Waktu = 1 ms, Langkah = 35
Percobaan #48: Waktu = 1 ms, Langkah = 33
Percobaan #49: Waktu = 0 ms, Langkah = 28
Percobaan #50: Waktu = 1 ms, Langkah = 40
Percobaan #51: Waktu = 0 ms, Langkah = 26
Percobaan #52: Waktu = 1 ms, Langkah = 31
Percobaan #53: Waktu = 0 ms, Langkah = 34
Percobaan #54: Waktu = 1 ms, Langkah = 42
Percobaan #55: Waktu = 1 ms, Langkah = 37
Percobaan #56: Waktu = 0 ms, Langkah = 25
Percobaan #57: Waktu = 1 ms, Langkah = 36
Percobaan #58: Waktu = 0 ms, Langkah = 30
Percobaan #59: Waktu = 6 ms, Langkah = 26
Percobaan #60: Waktu = 0 ms, Langkah = 28
Percobaan #61: Waktu = 1 ms, Langkah = 27
Percobaan #62: Waktu = 0 ms, Langkah = 27
Percobaan #63: Waktu = 0 ms, Langkah = 30
Percobaan #64: Waktu = 1 ms, Langkah = 36
Percobaan #65: Waktu = 0 ms, Langkah = 33
Percobaan #66: Waktu = 1 ms, Langkah = 31
Percobaan #67: Waktu = 1 ms, Langkah = 30
Percobaan #68: Waktu = 2 ms, Langkah = 41
Percobaan #69: Waktu = 1 ms, Langkah = 37
Percobaan #70: Waktu = 1 ms, Langkah = 28
