--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 1.txt (10x10, 10 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 100

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 99 (99.00%)
Jumlah Kegagalan   : 1
Rata-rata Waktu    : 1.33 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 23.95 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 23 ms, Langkah = 23
Percobaan #2: Waktu = 7 ms, Langkah = 34
Percobaan #3: Waktu = 31 ms, Langkah = 29
Percobaan #4: Waktu = 2 ms, Langkah = 18
Percobaan #5: Waktu = 2 ms, Langkah = 22
Percobaan #6: Waktu = 8 ms, Langkah = 30
Percobaan #7: Waktu = 12 ms, Langkah = 26
Percobaan #8: Waktu = 2 ms, Langkah = 25
Percobaan #9: Waktu = 2 ms, Langkah = 31
Percobaan #10: Waktu = 1 ms, Langkah = 23
Percobaan #11: Waktu = 1 ms, Langkah = 22
Percobaan #12: Waktu = 1 ms, Langkah = 30
Percobaan #13: Waktu = 1 ms, Langkah = 23
Percobaan #14: Waktu = 1 ms, Langkah = 16
Percobaan #15: Waktu = 0 ms, Langkah = 19
Percobaan #16: Waktu = 1 ms, Langkah = 29
Percobaan #17: Waktu = 1 ms, Langkah = 21
Percobaan #18: Waktu = 1 ms, Langkah = 26
Percobaan #19: Waktu = 1 ms, Langkah = 29
Percobaan #20: Waktu = 0 ms, Langkah = 17
Percobaan #21: Waktu = 2 ms, Langkah = 23
Percobaan #22: Waktu = 1 ms, Langkah = 21
Percobaan #23: Waktu = 1 ms, Langkah = 32
Percobaan #24: Waktu = 1 ms, Langkah = 31
Percobaan #25: Waktu = 0 ms, Langkah = 12
Percobaan #26: Waktu = 1 ms, Langkah = 19
Percobaan #27: Waktu = 0 ms, Langkah = 17
Percobaan #28: Waktu = 0 ms, Langkah = 19
Percobaan #29: Waktu = 1 ms, Langkah = 33
Percobaan #30: Waktu = 0 ms, Langkah = 22
Percobaan #31: Waktu = 0 ms, Langkah = 18
Percobaan #32: Waktu = 1 ms, Langkah = 26
Percobaan #33: Waktu = 0 ms, Langkah = 24
Percobaan #34: Waktu = 1 ms, Langkah = 22
Percobaan #35: Waktu = 2 ms, Langkah = 23
Percobaan #36: Waktu = 0 ms, Langkah = 16
Percobaan #37: Waktu = 0 ms, Langkah = 23
