--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 2.txt (20x20, 60 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 677 (67.70%)
Jumlah Kegagalan   : 323
Rata-rata Waktu    : 5.45 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 177.00 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 31 ms, Langkah = 181
Percobaan #2: Waktu = 12 ms, Langkah = 176
Percobaan #3: Waktu = 26 ms, Langkah = 175
Percobaan #4: Waktu = 12 ms, Langkah = 170
Percobaan #5: Waktu = 14 ms, Langkah = 164
Percobaan #6: Waktu = 7 ms, Langkah = 162
Percobaan #7: Waktu = 9 ms, Langkah = 188
Percobaan #8: Waktu = 5 ms, Langkah = 153
Percobaan #9: Waktu = 4 ms, Langkah = 172
Percobaan #10: Waktu = 10 ms, Langkah = 202
Percobaan #11: Waktu = 10 ms, Langkah = 178
Percobaan #12: Waktu = 4 ms, Langkah = 168
Percobaan #13: Waktu = 16 ms, Langkah = 175
Percobaan #14: Waktu = 14 ms, Langkah = 169
Percobaan #15: Waktu = 5 ms, Langkah = 174
Percobaan #16: Waktu = 6 ms, Langkah = 158
Percobaan #17: Waktu = 6 ms, Langkah = 173
Percobaan #18: Waktu = 8 ms, Langkah = 175
Percobaan #19: Waktu = 6 ms, Langkah = 163
Percobaan #20: Waktu = 15 ms, Langkah = 169
Percobaan #21: Waktu = 5 ms, Langkah = 170
Percobaan #22: Waktu = 5 ms, Langkah = 180
Percobaan #23: Waktu = 6 ms, Langkah = 180
Percobaan #24: Waktu = 5 ms, Langkah = 167
Percobaan #25: Waktu = 8 ms, Langkah = 177
Percobaan #26: Waktu = 6 ms, Langkah = 164
Percobaan #27: Waktu = 9 ms, Langkah = 188
Percobaan #28: Waktu = 14 ms, Langkah = 142
Percobaan #29: Waktu = 4 ms, Langkah = 176
Percobaan #30: Waktu = 5 ms, Langkah = 156
Percobaan #31: Waktu = 5 ms, Langkah = 158
Percobaan #32: Waktu = 5 ms, Langkah = 173
Percobaan #33: Waktu = 5 ms, Langkah = 172
Percobaan #34: Waktu = 8 ms, Langkah = 178
Percobaan #35: Waktu = 4 ms, Langkah = 157
Percobaan #36: Waktu = 6 ms, Langkah = 196
Percobaan #37: Waktu = 5 ms, Langkah = 170
Percobaan #38: Waktu = 9 ms, Langkah = 218
Percobaan #39: Waktu = 6 ms, Langkah = 178
Percobaan #40: Waktu = 5 ms, Langkah = 184
Percobaan #41: Waktu = 4 ms, Langkah = 154
Percobaan #42: Waktu = 5 ms, Langkah = 161
Percobaan #43: Waktu = 6 ms, Langkah = 207
Percobaan #44: Waktu = 17 ms, Langkah = 176
Percobaan #45: Waktu = 18 ms, Langkah = 181
Percobaan #46: Waktu = 6 ms, Langkah = 198
Percobaan #47: Waktu = 4 ms, Langkah = 162
Percobaan #48: Waktu = 5 ms, Langkah = 185
Percobaan #49: Waktu = 4 ms, Langkah = 145
Percobaan #50: Waktu = 4 ms, Langkah = 143
Percobaan #51: Waktu = 6 ms, Langkah = 166
Percobaan #52: Waktu = 4 ms, Langkah = 147
Percobaan #53: Waktu = 6 ms, Langkah = 166
Percobaan #54: Waktu = 4 ms, Langkah = 163
Percobaan #55: Waktu = 7 ms, Langkah = 199
Percobaan #56: Waktu = 4 ms, Langkah = 167
Percobaan #57: Waktu = 5 ms, Langkah = 187
Percobaan #58: Waktu = 5 ms, Langkah = 181
Percobaan #59: Waktu = 7 ms, Langkah = 181
Percobaan #60: Waktu = 6 ms, Langkah = 201
Percobaan #61: Waktu = 6 ms, Langkah = 172
Percobaan #62: Waktu = 5 ms, Langkah = 183
Percobaan #63: Waktu = 4 ms, Langkah = 164
Percobaan #64: Waktu = 5 ms, Langkah = 189
Percobaan #65: Waktu = 5 ms, Langkah = 180
Percobaan #66: Waktu = 7 ms, Langkah = 199
Percobaan #67: Waktu = 5 ms, Langkah = 183
Percobaan #68: Waktu = 5 ms, Langkah = 167
Percobaan #69: Waktu = 6 ms, Langkah = 163
Percobaan #70: Waktu = 4 ms, Langkah = 171
Percobaan #71: Waktu = 5 ms, Langkah = 169
Percobaan #72: Waktu = 4 ms, Langkah = 171
Percobaan #73: Waktu = 5 ms, Langkah = 191
Percobaan #74: Waktu = 4 ms, Langkah = 177
Percobaan #75: Waktu = 6 ms, Langkah = 227
Percobaan #76: Waktu = 4 ms, Langkah = 170
Percobaan #77: Waktu = 4 ms, Langkah = 172
Percobaan #78: Waktu = 5 ms, Langkah = 179
Percobaan #79: Waktu = 4 ms, Langkah = 148
Percobaan #80: Waktu = 5 ms, Langkah = 152
Percobaan #81: Waktu = 5 ms, Langkah = 177
Percobaan #82: Waktu = 4 ms, Langkah = 150
Percobaan #83: Waktu = 4 ms, Langkah = 181
Percobaan #84: Waktu = 5 ms, Langkah = 168
Percobaan #85: Waktu = 3 ms, Langkah = 139
Percobaan #86: Waktu = 5 ms, Langkah = 179
Percobaan #87: Waktu = 4 ms, Langkah = 175
Percobaan #88: Waktu = 5 ms, Langkah = 195
Percobaan #89: Waktu = 4 ms, Langkah = 160
Percobaan #90: Waktu = 11 ms, Langkah = 195
Percobaan #91: Waktu = 5 ms, Langkah = 164
Percobaan #92: Waktu = 7 ms, Langkah = 160
Percobaan #93: Waktu = 4 ms, Langkah = 184
Percobaan #94: Waktu = 6 ms, Langkah = 195
Percobaan #95: Waktu = 4 ms, Langkah = 159
Percobaan #96: Waktu = 6 ms, Langkah = 171
Percobaan #97: Waktu = 6 ms, Langkah = 197
Percobaan #98: Waktu = 4 ms, Langkah = 162
Percobaan #99: Waktu = 6 ms, Langkah = 178
Percobaan #100: Waktu = 5 ms, Langkah = 193
Percobaan #101: Waktu = 4 ms, Langkah = 164
Percobaan #102: Waktu = 4 ms, Langkah = 152
Percobaan #103: Waktu = 6 ms, Langkah = 204
Percobaan #104: Waktu = 4 ms, Langkah = 162
Percobaan #105: Waktu = 5 ms, Langkah = 193
Percobaan #106: Waktu = 6 ms, Langkah = 198
Percobaan #107: Waktu = 6 ms, Langkah = 195
Percobaan #108: Waktu = 5 ms, Langkah = 174
Percobaan #109: Waktu = 5 ms, Langkah = 190
Percobaan #110: Waktu = 4 ms, Langkah = 150
Percobaan #111: Waktu = 4 ms, Langkah = 166
Percobaan #112: Waktu = 5 ms, Langkah = 211
Percobaan #113: Waktu = 6 ms, Langkah = 192
Percobaan #114: Waktu = 5 ms, Langkah = 192
Percobaan #115: Waktu = 5 ms, Langkah = 166
Percobaan #116: Waktu = 4 ms, Langkah = 159
