--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 503 (50.30%)
Jumlah Kegagalan   : 497
Rata-rata Waktu    : 18.78 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 304.81 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 44 ms, Langkah = 313
Percobaan #2: Waktu = 40 ms, Langkah = 283
Percobaan #3: Waktu = 32 ms, Langkah = 299
Percobaan #4: Waktu = 27 ms, Langkah = 353
Percobaan #5: Waktu = 21 ms, Langkah = 285
Percobaan #6: Waktu = 26 ms, Langkah = 303
Percobaan #7: Waktu = 33 ms, Langkah = 305
Percobaan #8: Waktu = 24 ms, Langkah = 325
Percobaan #9: Waktu = 17 ms, Langkah = 297
Percobaan #10: Waktu = 17 ms, Langkah = 294
Percobaan #11: Waktu = 19 ms, Langkah = 343
Percobaan #12: Waktu = 18 ms, Langkah = 302
Percobaan #13: Waktu = 16 ms, Langkah = 315
Percobaan #14: Waktu = 19 ms, Langkah = 290
Percobaan #15: Waktu = 22 ms, Langkah = 314
Percobaan #16: Waktu = 17 ms, Langkah = 318
Percobaan #17: Waktu = 19 ms, Langkah = 303
Percobaan #18: Waktu = 16 ms, Langkah = 297
Percobaan #19: Waktu = 18 ms, Langkah = 318
Percobaan #20: Waktu = 26 ms, Langkah = 315
Percobaan #21: Waktu = 16 ms, Langkah = 302
Percobaan #22: Waktu = 17 ms, Langkah = 311
Percobaan #23: Waktu = 15 ms, Langkah = 296
Percobaan #24: Waktu = 25 ms, Langkah = 303
Percobaan #25: Waktu = 24 ms, Langkah = 319
Percobaan #26: Waktu = 20 ms, Langkah = 309
Percobaan #27: Waktu = 21 ms, Langkah = 303
Percobaan #28: Waktu = 16 ms, Langkah = 289
Percobaan #29: Waktu = 17 ms, Langkah = 291
Percobaan #30: Waktu = 19 ms, Langkah = 315
Percobaan #31: Waktu = 18 ms, Langkah = 315
Percobaan #32: Waktu = 17 ms, Langkah = 301
Percobaan #33: Waktu = 18 ms, Langkah = 306
Percobaan #34: Waktu = 21 ms, Langkah = 300
Percobaan #35: Waktu = 17 ms, Langkah = 317
Percobaan #36: Waktu = 18 ms, Langkah = 319
Percobaan #37: Waktu = 18 ms, Langkah = 300
Percobaan #38: Waktu = 18 ms, Langkah = 309
Percobaan #39: Waktu = 17 ms, Langkah = 307
Percobaan #40: Waktu = 19 ms, Langkah = 297
Percobaan #41: Waktu = 18 ms, Langkah = 320
Percobaan #42: Waktu = 17 ms, Langkah = 292
Percobaan #43: Waktu = 18 ms, Langkah = 333
Percobaan #44: Waktu = 22 ms, Langkah = 279
Percobaan #45: Waktu = 21 ms, Langkah = 330
Percobaan #46: Waktu = 15 ms, Langkah = 293
Percobaan #47: Waktu = 17 ms, Langkah = 294
Percobaan #48: Waktu = 17 ms, Langkah = 317
Percobaan #49: Waktu = 21 ms, Langkah = 296
Percobaan #50: Waktu = 17 ms, Langkah = 314
Percobaan #51: Waktu = 19 ms, Langkah = 317
Percobaan #52: Waktu = 17 ms, Langkah = 267
Percobaan #53: Waktu = 18 ms, Langkah = 317
Percobaan #54: Waktu = 17 ms, Langkah = 307
Percobaan #55: Waktu = 18 ms, Langkah = 296
Percobaan #56: Waktu = 19 ms, Langkah = 279
Percobaan #57: Waktu = 22 ms, Langkah = 315
Percobaan #58: Waktu = 18 ms, Langkah = 304
Percobaan #59: Waktu = 20 ms, Langkah = 332
Percobaan #60: Waktu = 16 ms, Langkah = 293
Percobaan #61: Waktu = 17 ms, Langkah = 321
Percobaan #62: Waktu = 16 ms, Langkah = 303
Percobaan #63: Waktu = 23 ms, Langkah = 337
Percobaan #64: Waktu = 16 ms, Langkah = 294
Percobaan #65: Waktu = 18 ms, Langkah = 309
Percobaan #66: Waktu = 17 ms, Langkah = 320
Percobaan #67: Waktu = 19 ms, Langkah = 312
Percobaan #68: Waktu = 16 ms, Langkah = 298
Percobaan #69: Waktu = 15 ms, Langkah = 288
Percobaan #70: Waktu = 19 ms, Langkah = 319
