--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Classic Greedy
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 490 (49.00%)
Jumlah Kegagalan   : 510
Rata-rata Waktu    : 22.60 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.51 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 49 ms, Langkah = 386
Percobaan #2: Waktu = 35 ms, Langkah = 416
Percobaan #3: Waktu = 40 ms, Langkah = 385
Percobaan #4: Waktu = 24 ms, Langkah = 367
Percobaan #5: Waktu = 23 ms, Langkah = 389
Percobaan #6: Waktu = 50 ms, Langkah = 396
Percobaan #7: Waktu = 26 ms, Langkah = 375
Percobaan #8: Waktu = 30 ms, Langkah = 410
Percobaan #9: Waktu = 25 ms, Langkah = 364
Percobaan #10: Waktu = 25 ms, Langkah = 377
Percobaan #11: Waktu = 58 ms, Langkah = 396
Percobaan #12: Waktu = 28 ms, Langkah = 417
Percobaan #13: Waktu = 23 ms, Langkah = 367
Percobaan #14: Waktu = 27 ms, Langkah = 459
Percobaan #15: Waktu = 22 ms, Langkah = 443
Percobaan #16: Waktu = 21 ms, Langkah = 384
Percobaan #17: Waktu = 21 ms, Langkah = 402
Percobaan #18: Waktu = 25 ms, Langkah = 374
Percobaan #19: Waktu = 25 ms, Langkah = 400
Percobaan #20: Waktu = 22 ms, Langkah = 388
Percobaan #21: Waktu = 23 ms, Langkah = 398
Percobaan #22: Waktu = 23 ms, Langkah = 399
Percobaan #23: Waktu = 20 ms, Langkah = 352
Percobaan #24: Waktu = 21 ms, Langkah = 399
Percobaan #25: Waktu = 24 ms, Langkah = 423
Percobaan #26: Waktu = 22 ms, Langkah = 389
Percobaan #27: Waktu = 20 ms, Langkah = 388
Percobaan #28: Waktu = 17 ms, Langkah = 390
Percobaan #29: Waktu = 24 ms, Langkah = 417
Percobaan #30: Waktu = 24 ms, Langkah = 425
Percobaan #31: Waktu = 24 ms, Langkah = 433
Percobaan #32: Waktu = 25 ms, Langkah = 454
Percobaan #33: Waktu = 21 ms, Langkah = 391
Percobaan #34: Waktu = 28 ms, Langkah = 451
Percobaan #35: Waktu = 28 ms, Langkah = 446
Percobaan #36: Waktu = 24 ms, Langkah = 416
Percobaan #37: Waktu = 20 ms, Langkah = 319
Percobaan #38: Waktu = 26 ms, Langkah = 383
Percobaan #39: Waktu = 25 ms, Langkah = 378
Percobaan #40: Waktu = 31 ms, Langkah = 413
Percobaan #41: Waktu = 20 ms, Langkah = 362
Percobaan #42: Waktu = 23 ms, Langkah = 404
Percobaan #43: Waktu = 24 ms, Langkah = 383
Percobaan #44: Waktu = 42 ms, Langkah = 436
Percobaan #45: Waktu = 44 ms, Langkah = 389
Percobaan #46: Waktu = 41 ms, Langkah = 426
Percobaan #47: Waktu = 26 ms, Langkah = 367
Percobaan #48: Waktu = 22 ms, Langkah = 385
Percobaan #49: Waktu = 27 ms, Langkah = 434
Percobaan #50: Waktu = 23 ms, Langkah = 386
Percobaan #51: Waktu = 26 ms, Langkah = 390
Percobaan #52: Waktu = 28 ms, Langkah = 405
Percobaan #53: Waktu = 24 ms, Langkah = 365
Percobaan #54: Waktu = 24 ms, Langkah = 342
Percobaan #55: Waktu = 24 ms, Langkah = 362
Percobaan #56: Waktu = 22 ms, Langkah = 402
Percobaan #57: Waktu = 23 ms, Langkah = 384
Percobaan #58: Waktu = 29 ms, Langkah = 462
Percobaan #59: Waktu = 27 ms, Langkah = 402
Percobaan #60: Waktu = 25 ms, Langkah = 405
Percobaan #61: Waktu = 29 ms, Langkah = 438
Percobaan #62: Waktu = 27 ms, Langkah = 390
Percobaan #63: Waktu = 28 ms, Langkah = 445
Percobaan #64: Waktu = 25 ms, Langkah = 403
Percobaan #65: Waktu = 24 ms, Langkah = 352
Percobaan #66: Waktu = 24 ms, Langkah = 428
Percobaan #67: Waktu = 21 ms, Langkah = 425
Percobaan #68: Waktu = 21 ms, Langkah = 399
Percobaan #69: Waktu = 25 ms, Langkah = 414
Percobaan #70: Waktu = 24 ms, Langkah = 426
