--- Hasil Analisis Kinerja Solver ---

Konfigurasi      : 3.txt (30x30, 135 bom)
Solver Digunakan : Hybrid (Greedy + CSP)
Jumlah Percobaan : 1000

--- Ringkasan Statistik ---
Jumlah Keberhasilan: 687 (68.70%)
Jumlah Kegagalan   : 313
Rata-rata Waktu    : 28.11 ms (untuk percobaan yang berhasil)
Rata-rata Langkah  : 401.87 langkah (untuk percobaan yang berhasil)

--- Rincian Percobaan yang Berhasil ---
Percobaan #1: Waktu = 75 ms, Langkah = 377
Percobaan #2: Waktu = 52 ms, Langkah = 405
Percobaan #3: Waktu = 33 ms, Langkah = 375
Percobaan #4: Waktu = 32 ms, Langkah = 421
Percobaan #5: Waktu = 32 ms, Langkah = 410
Percobaan #6: Waktu = 33 ms, Langkah = 410
Percobaan #7: Waktu = 32 ms, Langkah = 379
Percobaan #8: Waktu = 40 ms, Langkah = 369
Percobaan #9: Waktu = 34 ms, Langkah = 387
Percobaan #10: Waktu = 36 ms, Langkah = 412
Percobaan #11: Waktu = 39 ms, Langkah = 451
Percobaan #12: Waktu = 31 ms, Langkah = 392
Percobaan #13: Waktu = 28 ms, Langkah = 409
Percobaan #14: Waktu = 26 ms, Langkah = 365
Percobaan #15: Waktu = 35 ms, Langkah = 416
Percobaan #16: Waktu = 24 ms, Langkah = 364
Percobaan #17: Waktu = 25 ms, Langkah = 366
Percobaan #18: Waktu = 27 ms, Langkah = 426
Percobaan #19: Waktu = 32 ms, Langkah = 429
Percobaan #20: Waktu = 28 ms, Langkah = 401
Percobaan #21: Waktu = 29 ms, Langkah = 418
Percobaan #22: Waktu = 28 ms, Langkah = 411
Percobaan #23: Waktu = 27 ms, Langkah = 393
Percobaan #24: Waktu = 29 ms, Langkah = 381
Percobaan #25: Waktu = 31 ms, Langkah = 429
Percobaan #26: Waktu = 30 ms, Langkah = 416
Percobaan #27: Waktu = 28 ms, Langkah = 341
Percobaan #28: Waktu = 22 ms, Langkah = 365
Percobaan #29: Waktu = 22 ms, Langkah = 337
Percobaan #30: Waktu = 26 ms, Langkah = 396
Percobaan #31: Waktu = 29 ms, Langkah = 404
Percobaan #32: Waktu = 28 ms, Langkah = 404
Percobaan #33: Waktu = 22 ms, Langkah = 364
Percobaan #34: Waktu = 26 ms, Langkah = 376
Percobaan #35: Waktu = 26 ms, Langkah = 385
Percobaan #36: Waktu = 30 ms, Langkah = 384
Percobaan #37: Waktu = 30 ms, Langkah = 398
Percobaan #38: Waktu = 29 ms, Langkah = 415
Percobaan #39: Waktu = 28 ms, Langkah = 423
Percobaan #40: Waktu = 32 ms, Langkah = 420
Percobaan #41: Waktu = 30 ms, Langkah = 411
Percobaan #42: Waktu = 29 ms, Langkah = 453
Percobaan #43: Waktu = 27 ms, Langkah = 426
Percobaan #44: Waktu = 25 ms, Langkah = 432
Percobaan #45: Waktu = 29 ms, Langkah = 431
Percobaan #46: Waktu = 33 ms, Langkah = 381
Percobaan #47: Waktu = 25 ms, Langkah = 396
Percobaan #48: Waktu = 33 ms, Langkah = 394
Percobaan #49: Waktu = 43 ms, Langkah = 432
Percobaan #50: Waktu = 39 ms, Langkah = 405
Percobaan #51: Waktu = 30 ms, Langkah = 399
Percobaan #52: Waktu = 26 ms, Langkah = 356
Percobaan #53: Waktu = 26 ms, Langkah = 349
Percobaan #54: Waktu = 32 ms, Langkah = 409
Percobaan #55: Waktu = 28 ms, Langkah = 378
Percobaan #56: Waktu = 28 ms, Langkah = 394
Percobaan #57: Waktu = 28 ms, Langkah = 364
Percobaan #58: Waktu = 34 ms, Langkah = 452
Percobaan #59: Waktu = 35 ms, Langkah = 446
Percobaan #60: Waktu = 29 ms, Langkah = 415
Percobaan #61: Waktu = 25 ms, Langkah = 397
Percobaan #62: Waktu = 25 ms, Langkah = 402
Percobaan #63: Waktu = 24 ms, Langkah = 406
Percobaan #64: Waktu = 30 ms, Langkah = 403
Percobaan #65: Waktu = 25 ms, Langkah = 390
Percobaan #66: Waktu = 31 ms, Langkah = 406
Percobaan #67: Waktu = 29 ms, Langkah = 424
Percobaan #68: Waktu = 26 ms, Langkah = 420
Percobaan #69: Waktu = 24 ms, Langkah = 368
Percobaan #70: Waktu = 61 ms, Langkah = 414
Percobaan #71: Waktu = 36 ms, Langkah = 399
Percobaan #72: Waktu = 42 ms, Langkah = 392
Percobaan #73: Waktu = 37 ms, Langkah = 415
Percobaan #74: Waktu = 42 ms, Langkah = 419
Percobaan #75: Waktu = 30 ms, Langkah = 373
Percobaan #76: Waktu = 30 ms, Langkah = 360
Percobaan #77: Waktu = 34 ms, Langkah = 403
Percobaan #78: Waktu = 28 ms, Langkah = 356
Percobaan #79: Waktu = 31 ms, Langkah = 412
Percobaan #80: Waktu = 31 ms, Langkah = 402
Percobaan #81: Waktu = 33 ms, Langkah = 438
Percobaan #82: Waktu = 26 ms, Langkah = 355
Percobaan #83: Waktu = 27 ms, Langkah = 415
Percobaan #84: Waktu = 28 ms, Langkah = 411
Percobaan #85: Waktu = 28 ms, Langkah = 371
Percobaan #86: Waktu = 28 ms, Langkah = 407
Percobaan #87: Waktu = 27 ms, Langkah = 382
Percobaan #88: Waktu = 31 ms, Langkah = 450
Percobaan #89: Waktu = 25 ms, Langkah = 404
Percobaan #90: Waktu = 26 ms, Langkah = 424
Percobaan #91: Waktu = 26 ms, Langkah = 381
Percobaan #92: Waktu = 25 ms, Langkah = 410
Percobaan #93: Waktu = 27 ms, Langkah = 408
Percobaan #94: Waktu = 23 ms, Langkah = 363
Percobaan #95: Waktu = 27 ms, Langkah = 391
Percobaan #96: Waktu = 28 ms, Langkah = 418
Percobaan #97: Waktu = 24 ms, Langkah = 392
Percobaan #98: Waktu = 29 ms, Langkah = 417
Percobaan #99: Waktu = 28 ms, Langkah = 425
Percobaan #100: Waktu = 24 ms, Langkah = 394
Percobaan #101: Waktu = 27 ms, Langkah = 385
Percobaan #102: Waktu = 29 ms, Langkah = 435
Percobaan #103: Waktu = 26 ms, Langkah = 348
Percobaan #104: Waktu = 23 ms, Langkah = 339
Percobaan #105: Waktu = 24 ms, Langkah = 403
Percobaan #106: Waktu = 28 ms, Langkah = 404
Percobaan #107: Waktu = 27 ms, Langkah = 387
Percobaan #108: Waktu = 28 ms, Langkah = 415
Percobaan #109: Waktu = 24 ms, Langkah = 387
Percobaan #110: Waktu = 26 ms, Langkah = 433
Percobaan #111: Waktu = 28 ms, Langkah = 419
Percobaan #112: Waktu = 26 ms, Langkah = 412
Percobaan #113: Waktu = 27 ms, Langkah = 439
Percobaan #114: Waktu = 29 ms, Langkah = 432
Percobaan #115: Waktu = 28 ms, Langkah = 428
Percobaan #116: Waktu = 23 ms, Langkah = 372
